,content
60,好油腻，我要吐了，和《雪中悍刀行》一样，是不是蜜汁自信的男作者都喜欢让主角一进城、一逛街就逛青楼，一逛青楼就能和花魁睡啊？花魁一定是刺杀失败反被男主驯服，这些男作者脑子里都在想什么啊？
61,看了电视剧来看的，因为想知道结局。一路跳着看的，废话有点多，结局不喜欢，为脑洞给2分，最后一分给庆帝，可是结局他死了，很不开心。这样一个人怎么能死，要是我写的话，大概死的是范闲，我宁愿皇帝老儿天天有事没事怀念他一下。
62,目前看起来还行
63,不是时间穿越，不是平行世界……可以与三体媲美的想象力
64,太假了
65,不知道分数为什么这么高，上来就开金手指，意淫之作
66,读过……为了和大家有共同语言又没耐心看剧
67,"电视剧看了五分钟放弃了。。。主角光环心想事成万事如意，这也不是严肃文学，挺好玩的。
-----
这故事太顺利，书我也放弃了"
68,补得我累死了
69,太一般了，电视剧编剧改编不错
70,因为忍受不了腾讯VIP中P选择了微信读书
71,看了第一集电视后 对剧情很感兴趣 抓起书来看完了第一本 发现自己只是喜欢第一集的小演员韩昊霖 哈哈😄 我的品味总是这么与众不同
72,鸡肋，还不如电视剧好看。
73,错过了那个年代，就错过了精彩。现在再回读，再也看不进这种“老套”，“无厘头”的种马文啦。
74,太长了
75,电视剧改编出色。
76,看到五岁内力雄厚 弃
77,不知道语言这么贫乏，恐怖、极为、变态几个词车轱辘来回用的小说为什么这么火…到处抄古诗影视剧情作为所谓的埋梗，写厉害写漂亮只停留在用形容词告诉你很厉害很漂亮的程度...大概我太老了，实在看不下去
78,和几乎所有网络小说一样，8成以上是水分。而造成这个现象的原因就是按字数算钱。据说猫腻的稿费是一字三元，所以也不意外，能百万字写完的也要写个千万字。
79,科幻小说
80,中规中矩……
81,庆余年虽然融合了多种元素，但是不得不称赞一声猫腻，格局如此宏大但叙事仍然有条不紊，文笔流畅自然，男主装逼到位，深得我心，不会因为莫名其妙的原因就放弃自己的高科技。而且猫腻的文笔也是一大看点，网络小说中少见的细腻
82,从连续剧找过来的，实在是太长了。。网络小说看着没啥脑子写起来实在也不容易，这种即时评论反馈的机制让作品太容易就陷入平庸。另一个角度看，可见当年金庸那代人是有多厉害。
83,对比起来电视剧编剧有点牛的
84,为挣钱胡编乱造想到哪写到哪拖拉无止境故意曲来折去凑字数的低水平网文，不值得浪费时间读完
85,因为电视剧去看了这本小说，整个小说的架构和格局非常的吸引我。不是那种传统的男频小说，里面的权谋的部分非常的吸引人，然后也会让人感觉到作为男主他整个的思维缜密和情商优越。当然不排除就是肯定会有男主光环这样子的东西存在，但是他的整个的故事情节非常的好。
86,好看，架构宏大，草蛇灰线，不乏诙谐。我带着范闲成为大宗师的期待一往无前阅读，谁知他竟拼得自己浑厚破败，想来也是，从纯粹的武学境界到放眼天下掌握局势，手握制衡力量，也许这就是他个人人格和行事的成熟。讲讲cp，我自然是支持海棠朵朵的，所谓知心，可遇不可求，林婉儿大概属于范闲内心永远的温柔，知心人常常败于白月光，那又如何，我是非常喜欢海棠朵朵的。
87,前面挺好的，整部读了一半，后面太长了读不下去了。
88,很多年前看的当前热播剧。
89,看完电视剧才开始看书，书比电视剧的细节更丰富，一本读起来很有意思的书
90,太长了，看累了。
91,书其实挺一般般…
92,确认一本书纪念我大约看完了一套庆余年吧，小说和电视剧的差距，或许就在于小说更加的符合我们90后的观感吧，曲径通幽处的剧情让人无可自拔，但也还是会有很多不合理之处会让我们挑刺，虽然猫腻很老练得平滑了过去，但还是有一些唐突。在我看完这本书的时候，才突然发现居然是10年前的产物，却又实在让人惊叹，当年穿越流达到高峰的时代，这部小说勾去了多少人的心魂。
93,写的不错，但是实在太长，看着累
94,我有罪😂，看到男主长大是我忍耐的极限了，我确实是奔着男主比肩女子的美貌来的。#细数那些比女人还美的起点男主#
95,追剧追完第一季不过瘾来看的小说，什么玩意儿啊，不说情节啥的了，这文笔，连篇废话，读起来味同嚼蜡，这也能有8分？
96,挺好看的，情节跌宕起伏。
97,看了看原书才觉得改编是真的厉害...
98,除了服道化有点尴尬，其他都好好
99,"没有仔细算过，来潍坊之前就已经开始看了，到今日已经过了两个月。
我不是很爱读书，但是读小说的时候特别容易角色带入。
跟范闲一起经历了庆国的风风雨雨，总觉得自己人生太平凡，没有那么波澜壮阔，可又觉得挺幸运，能够有那么多厉害的小说家，带着你去浏览，去感受，那些你心中真的向往的，感谢这本庆余年，陪我度过这两个月"
100,故事还不错，很喜欢里面的女性主角
101,仅标一本代全册，前面真的差点就弃了.....后面剧情情节丰富了起来，就连文笔都提升明显…..算是近年来看完的长篇小说～～陈萍萍真的❤️了
102,因为庆余年，去把猫腻的其他小说看了，即便是我不爱看的玄幻类。
103,我几乎从不看长篇非名著类小说，因为电视剧实在太火了，得赶紧把情节看完好不再想这些事情。穿越方式的构思还是挺巧妙的，是个比较有意思的故事。
104,2019年12月，困顿中，读完[远来之客]，塑造的人物有特点，只是主角开挂的人生让我只能呵呵！
105,"长大之后就看不动这些了
猫腻绝对是一个精致的利己主义者
要是15，6岁时看绝对会喜欢"
106,30章弃。看大家都不喜欢我也就放心了。啥玩意儿，电视还改的好看一点儿也没好看哪儿去
107,男生看的网络爽文，就，很一般吧，作者文笔也很一般
108,电视剧来的，不纠结合理性，就是在符合逻辑的情况下看着爽就好了。剧情，细节都没有明显漏洞，不拖沓，没有强推剧情。电视剧中有些改编更好
109,男主光环
110,长爽文里开篇算是偏平的，如果不是电视剧开播，真没法把后面追下去。
111,因为电视剧很火看了一下小说，不是太合我的阅读口味，宫斗型。后面的章节都是跳着看完，主要想看下神庙的设定。可能是早期网络小学，想象力较一般。
112,文笔还行，剧情还算有逻辑，就是这大男子主义让我着实看不下去
113,还挺有意思的，叶轻眉以为自己是玛丽苏女主，但其实是个炮灰，还有这作者取名也太随意了吧，大神都是这样吗，哈哈
114,废话连篇，剧情拖沓，看了88章，实在看不下去了。
115,太长了 看了快一个月
116,被吹得这么狠，以为很好看…但实际上还是逃不开网络小说的架构。看了三十几章没兴趣读了
117,招了电视剧的道去看的原著。作者脑洞很大，是一篇长长的爽文。
118,电视看过，再看书
119,四颗星，觉得收尾不够有力，前半段读得很开心。
120,很好看很好看
121,爽文穿越小说
122,这是一个很大的故事
123,看完小说了！
124,抄袭古诗有点雷人有点不要脸，不过那时几乎穿越主角都这么做
125,看到大家都是差评我就放心了
126,还是书对我更有吸引力，更有想象的空间
127,为了翻找看过的记录，我居然去翻看了开心网读书记录。是唯姐推荐我去看这套书，我是2011年一口气看完了7本，那个时候纸质书只出到第六本，最后一本是电子书。对于这套书的印象不是很深刻，权臣宝典好像说得有点过。只不过在穿越剧里思路可能和别的作者不太一样。对于近期热播这部电视剧，还原度我真说不上来，因为故事情节已经有点模糊了～有人想看原著，可以问我借书，记得还我就行～
129,就是种马文，男主开的挂太多了
130,第一卷挺有趣，穿越+种田还行。后面越来越崩……
131,爱了爱了爱了
132,很久以前读的了
133,.....
134,文笔和故事都太差了吧，几句就能窥见作者脑回路的断层了。
135,我认为这个并不是一本好小说！最差劲的在于小说中人物的性格特点，每个人都一样…还都是一样的脾气！
136,看起来！
137,厕纸
138,天纵奇才的人设，看看解闷可以的。
139,最完美的还是想象，书比剧有趣多了
140,什么狗屁剧情，作者三观不正！主角就是作者意淫的自己！屌丝一个。。猫腻就会写这种书，适合毛没长齐的看！
141,哈哈，看完电视剧看结局。
142,剧情的套路就是起点升级流的小说，人物的设定也套路，文笔也一般，至少作者抛出来的梗还没赵本山的好笑，不明白评分怎么这么好。作者笔下流露出对自己的一种自恋。
143,可能是因为我不适应看网文，只觉得男主毫无魅力，情节没啥特别，总之不好看！不过翻完小说我释怀了：电视剧我不爱看不能怪我嘛！就这小说能拍成啥好剧？为啥恋爱戏背诗戏演得那么尴尬？书里写得就很突兀啊！金庸的武侠小说也是男主角一路开挂还吸引n多好姑娘的故事，但至少人家的主角是饱满的、有魅力的，让我觉得郭靖一路遇贵人是因为他的人品，可以自然接受！噢张若昀千万不要宣传自己和范闲有什么相似，否则我就要连他一起不喜欢了！
144,庆余年这书读了很久了，也是为数不多男主架空穿越向我非常喜欢的一部书，当初追的时候，也不过是作为书荒了随意点击的一部，结果一看就入了坑，继而第一次如此喜欢一部作品不是因为主角爽文流，而是因为书里太多的配角，他们像星空里耀眼的星星，也许怼整片星空来说，他们只能发出一点光，然后对于星体本身来说，是独一无二的存在。陈萍萍，叶轻眉，五竹，庆帝，海棠朵朵，影子....他们都很耀眼，而且中后期脑洞大的我目瞪口呆，哈哈哈哈哈哈，真的非常推荐！
145,别人强烈推荐的，故事很棒很棒，但文笔不是我的菜
146,迅速刷完一本
148,男版玛丽苏
149,文笔还是不错的，个人倒是觉得，电视剧的改编还挺出彩的，看小说以后的进展吧
151,怀疑看的是假原著。。。浓浓的网络味道，说不出的违和感，或许是先入为主吧。两卷只是电视的20集，是不是要从第五卷开始读。。。
153,以前的我或许看得下去
154,突然觉得有必要标注一下我看过这本书（不然你们以为我高三都在干嘛）
155,第一卷闭，想弃后面的，行文屁话太多，跳过去看了后记
156,"惊艳
不管作者对男主的设定是不是太无敌，本来就是穿越加架空，真不真实已经不重要了，看得爽最重要
但是把阴谋阳谋写得这样惊心动魄的，还是很好看的
就是没想到，这书，怎么那么长那么长。。。比哈利波特还长吧。。。感觉可以写几代人的故事了。。。"
157,玛丽苏长公主vs龙傲天叶轻眉，猫腻你不懂女生！拼爹吗？拼妈吗？谁拼得过范闲哟。
158,故事有意思，文笔真是烂！
159,看得爽就够了
160,"因为最近电视剧的热播，来看小说。想知道是什么样的原著，才能让那么多老戏骨来演一部网剧。真的很失望。

第1-5卷没有高潮起伏，第6卷修饰词太多，第7卷又进展的太慢太转折，感觉整个人物形象，因为作者的喜恶强行转折。不知道是什么支撑着我看完。

对作者很失望。
明明结局爆发近在眼前，偏偏硬生生反转，深度怀疑是为了凑字数。

对范闲失望。
陈萍萍死后、五竹庆帝战斗的时候，范闲的选择太冷酷无情了。他终究是被塑造成了一个  被寄予厚望 却一直躲在强者背后的光环里 自以为是的家伙。

全本87多个小时的阅读，只喜欢陈萍萍死时和范闲在神庙试图唤醒五竹 两个段落。那时候的范闲还有情，不知道为什么后来就没了。

还要吐槽一下五竹的黑布背后居然是一道彩虹，我真的要被笑死被气死了。"
161,文风太过油腻 努力看了一大半 还是弃了。
162,卷一：电视剧两集交代
卷二：12.24-12.25ing
12.26看完
163,写的还可以，就是太啰嗦了。一看就是网文靠码字数来挣钱。
164,为数不多的网络小说体验，爽文路数，相比较电视剧的编剧改的比较好。
165,emmmm就算是穿越，你也是古代小说啊，爸爸妈妈这个称呼真的让我看不下去。
166,水
167,不好看
168,好看！
169,看完全篇回头看第一部分算比较平的，金手指直男审美爽文设定，看进去比较痛苦，牛栏街开启斗争序幕，少年的心境开始转变。
170,这是一碗集齐穿越、玄幻、武侠、科幻、历史、权谋、情爱等多种元素的乱炖。也许有些人会觉得好看，但我就只觉得恶心。
171,"好看是真好看 搞笑是真搞笑 猫腻牛逼 脑洞服气
就是一点 男频多种马本人理解 但是这本种马也太厉害了我滴乖乖 见一个意淫一个 遭不住遭不住"
172,电视剧的处理比小说的处理更好更动人更有冲突行。
173,这是什么杰克苏人设啊。。
174,不好看
175,年底大爆网剧，等不及更新就跑去看了书，emmm……实在是太长了啊，书里细节实在太多，看了两本，无奈弃之，不过还是很佩服作者的脑洞，初看以为是穿越剧，结果硬是变成了科幻剧。男主这种小机灵的性格还是很讨人爱的！挺佩服张若昀的，虽然颜值和原著差距较大，但是演技很可！
176,小说比电视剧的进度慢，更细致。还有，主角光环更光环。可能看的爽的原因是，太过瘾了，所向披靡。
177,从澹州到京都
178,这十年来，猫腻文风变化好大。
179,3年前读完第三卷，被跌宕起伏的情节、幽默风趣的语言所吸引，并且猜测如果拍成电视剧定会火爆。现在重读后面内容，脑子里就会出现电视剧里的演员形象。电视剧情和书中内容还是改编了一些的。第二三季电视剧出来前，书定会大卖。
180,反着穿
181,雨中送陈萍萍之后写的不是很好。
182,直接改名叫《碟中谍》好了。
183,？？？为什大家都很爱庆余年
184,还不错 文笔也行 故事情节也可以 就是男主的运气太好了吧 有一个开了金手指的老妈 真怀疑叶小姐也是穿越的……
186,有硬伤的爽文
187,不喜欢这类书，我不认为穿越之后的人可以凭着一点小聪明就混得风生水起。开头有点意思，然而挖坑太多，出场人物没展开就丢在一边，我怀疑这坑都填不上
188,初中的时候读的，当时相当上瘾🙀
189,长公主挂了以后没那么好看了。前面好看。
190,前期还可以，后期越发拖沓，读之无味。再加上被剧透了五竹的镭射眼，确实被雷到了，感觉有点不伦不类，自此弃书。
191,穿越的什么的小说果然都很雷啊，是什么样的人写出这种大胆的小说呢，想必是生活太安逸了啊。可悲的是竟然有很多人还沉迷其中。冯说得对，就是有垃圾观众
192,背负安之使命却干出一代传奇
193,这些都是贯穿了整个青春的朋友啊
194,1.5星
195,网络小说上层之作，章节体很适合零散阅读
196,近两天在家无聊看到了第五卷，终于看不下去了。故事逻辑太弱，就是堆字爽文，重复内容、废话太多了
197,"小说不是这样的写法，福尔摩斯让人喜欢不是福尔摩斯做了大家都意淫的事情。贾宝玉不让人讨厌，在于尽管那么多姐姐妹妹谈情说爱都是意淫，但意淫的高妙。金庸和古龙为什么比温瑞安高超，书生意淫自己仗剑江湖，不仅仅是十步杀一人，金庸能写到国仇家恨政治，古龙写到了自由孤独与叛逆。
我以前读网络小说，很多故事性很强，深得通俗小说写法要诣，然而一代更比一代差，作者为了奶粉钱，越来越水越来越小白，能怪谁呢，千字几分钱，作者也要吃饭养家啊。我还记得当年独唱团一个字一块钱，只出了一起就被停刊，独唱团早已成绝唱团"
198,挺好玩的
199,在猫腻的作品里算最出名的吧，但在我心里排不到前三。不喜欢男主，喜欢真男人陈萍萍和根本没出场的叶轻眉。
200,高端杰克苏
201,刚把一读完，是我喜欢的！
202,厉害，还没看后面几本，再说。
203,意淫太多
204,拍成电视剧竟然如此火，网络小说魅力很大呀，哪天咱也写一部小说，就可以躺着数钱了。网络文学都是在陪媳妇回娘家时看的，庆余年在各种网络小说排行里都很靠前，比较有趣。架空的古代，没有历史人物的牵绊，猫腻可以任意发挥。
205,网络小说，网络小说的优点有，缺点也有，打发时间可读，但也有很多更好的选择。
206,都看完了 困
207,记得还是大学追的。很奇怪，那个给我推荐书的人已经消失了，而剧火了？
208,猫腻大大的连载文章，结合穿越题材，让男主从一开始就充满了不一般的心智。从小开始的训练没有让这个四岁的孩子厌烦，因为他清楚地认识到锻炼身体、心智和精神的必要性和重要性。这第一部主要讲了男主的少年时期，而发生的种种为他去京都打下了坚实的基础。天马行空的想象和细腻幽默地描写，让这部架空历史小说一开始便吸引了不少读者。
210,就标一本。男性作者写的爽文。中间某些地方对女性肉体的觊觎与幻想，以及全世界女性都爱我这种自恋的意淫，还是会让人不适。尽管这都是正常男性的正常心理，但是写得冠冕堂皇，总归是失了体面。
211,第一部最好
212,mark
213,写的太棒了，局中局的感觉很好。读起来废寝忘食。
214,一直看完了两万字的后记，大体感觉还是温暖和舒服的。猫腻自己都说是通俗文学了，写的人和看的人图个乐呵就是了，天天背着政治正确的大山丈量世上一切事物未免太累，标首本代全书
215,"就个人感觉来说，觉得被渲染过头了，其实是有宣传舆论效果加持，应该剧比小说好看。
现在我看着是有点鸡肋……就起点文一般水准……还没看到什么特别惊艳的地方。
终于看完了。
要熬过开头，然后渐入佳境，后面越写越好，开始觉得有意思的地方是下江南收内库，大东山之局叹为观止，所以皇帝都是变态，萍萍之死之后难受的次数显著增加。
水是真的水，但这么一个大构架下来也挺不容易的。"
217,很好看，里面的人物都很喜欢。就是最后杀庆帝那段看得很生气，很怕五竹出什么事，为什么不稍稍准备下再杀呢，看着五竹直冲真的很害怕他出事。
218,三百万字。。。好久没看这么长的小说了，前20%真的精彩，后面真的拖沓，夫杀妻、子杀父还好说，陈萍萍的弑君动机真的逻辑不自洽，抄诗是硬伤。
219,全本读完，有点意思
220,见最后
221,如此行云流水想哪写哪毫无文采逻辑才识的流水账比今天的大多数网文还差
223,十年前的经典
224,因为剧太慢想补一下，本来起点新号可以免费看七天，好像取消了。看到跟剧差不多平，又把结尾看了。可能是因为书写得早跟自身年岁关系，部分描述设定看得有点尴尬，影评区看了个书透大致内容清楚了，弃。
225,对于男性向的YY没有共鸣。个人代入痕迹好明显，甩不脱的小家子气。写武侠笨拙。达不到易人北、蝴蝶蓝、Priest那些一流写手行云流水的爽文境界。和看《诛仙》小说时类似，看着看着就看不下去了。36章时弃。
226,哈哈因为海外版权的问题暂时看不到，先把书看了，还是挺有趣的。
227,最爱的小说。故事基本合理，人物各有特色，文笔不错，特爱主角的轴。
228,辞藻美丽，就是太啰嗦
229,只要套一个穿越人设身份，就可以随便复制粘贴其他人的作品然后出书了？生财有道啊，给12国记打钱了吗？一星表示反对复制流。
230,意淫小说里开挂过重的代表，文笔水平中等；内容上重生后男主标配三个爸爸，分别拥有绝对的权利，武力与计谋；配置送上门的天仙老婆和主动献身的其它美女，标配高科技装备。敌人则在智力、权利、武力上完全弱势。主角特点：无魅力，无勇气，无智力，长得好，善装B。本书适合梦想较高，现实残酷的读者在梦遗前阅读。
231,当时在图书馆无意中借到的 看了之后就入迷了 当时还没全部连载完 在网上一路追更到大结局 已经回顾过好几遍了 没书看的时候就会重温
232,你以为这是本权谋小说？错了，这其实是本披着杰克苏外衣的玛丽苏小说。
233,电视剧编剧厉害，原著小说让人失望
234,经典
235,第一卷是不疾不徐、娓娓道来的感觉。
236,细节和逻辑比连续剧更多，但不可否认的是连续剧的改编更突出了戏剧性。真是一部好的作品啊！继续看
237,有点平，像言情小说一样
238,剧情推进有点慢 悬疑感还是蛮强的 范闲和家人的故事肯定是不平凡的 不然两卷过去了一路走来神一样的经历和被呵护真的有点夸张了 看到后面还有冗长的几本 希望可以继续追下去
239,权谋，心思描写真是够细致了。见微知著，官场斗争，如果是真的也能学到点什么。故事嘛，就是爽文了。
240,直接阅读了结局数章。因剧而来，亦颇为欣赏文字风格。网文里很不错的作品，若干年后，网文也有机会成为主流文学，一如小说之于明清。
241,真的一般（编剧🐂🍺）
242,故事线很有看头 主题🉑️ 就是主角偶尔有点圣母 突然多cp 猫腻的结局普遍有点蛇尾
243,挺不错的小说
244,不好玩
245,不错
246,5分。没有惊喜也没有失望。我是来看二皇子的，结果整个第一部分二皇子就只活在别人说的话里🤧
247,超级好看，停不下来
248,三流小说一流改编剧……当初看《间客》还是蛮喜欢的。
249,男主还真是外柔内刚，还有开外挂
250,猫腻这个八千什么移民韩国？
251,趁着电视剧的热度，再次试着看这本书，仍然不喜欢，且越看越不喜欢，也想起来上次为什么看了几章就弃了。主角装逼太过了，拿红楼梦做文章不能忍，人物行为的逻辑和动机无法理解。
252,太多年以前看的，其实到现在剧情都不太记得了，只记得一直吐槽女主叫林依晨，以及最后知道大宗师是皇帝的惊讶。
253,文笔真的不太好，甚至可以说没有文笔。 胜在设定。
254,电视剧改编的太好了，书看不下去
255,忘了小说内容翻出来又重过了一遍，文笔真的不怎么样
256,看了两集电视剧才来翻翻小说的。不太明白这样的文笔和故事怎么会到8以上的分数的，豆瓣对网络小说的评分在我看来一直虚高。
257,实在看不下去了，注水严重，号称权谋，不知道哪来的勇气，内容画蛇添足，罗里吧嗦，人物基本不在线，也就是一网络爽文，没什么实在内容。
258,因为想要滕梓荆活，所以开始看小说！小说与电视剧一起食用 效果极好
259,杰克苏一旦苏起来，也就没玛丽苏什么事了，一岁开始练真气，真是天纵奇才，玛丽苏都不敢想一岁谈恋爱。文笔还算过得去，就是形容词比较匮乏，比如说作者想要花式夸赞范闲的外貌，但翻来覆去也只会用“漂亮”一词。
260,我是听说了一点剧情感兴趣才先去看的书的 第一本个人给个7.5分吧 多少还是能看出些当年起点连载网文的痕迹的 但是比起之前看过的一些畅销小说而言 个人觉得作者的文字功底还是能看出一些 男主的个性倒是有趣 但是并不太打动人 可能是多少难以共情吧
261,一般吧
262,当时看觉得还挺好看的 趁着电视剧又看了一遍 感觉有点浪费时间了 越看越觉得就是爽文了
264,要疯了，每天看这个，干不了事了
265,读书真有用
266,读完，好看～
267,很久很久以前，一章一章跟着读的时候觉得还挺有意思，情节已经忘了。。只记得文风有点黑暗，但还是可以读的。。。
268,我觉得还🉑️啊~  就是开挂的人生啊 普通才不是故事
269,实在是等不住电视的更新，间跳着看完了原著。本来是喜欢范闲穿越后降维打击的舒爽发展路径，却不成想入了陈萍萍守护他人理想的理想主义者的坑。那样尔虞我诈，利己主义至上的世界，总是有那么一些人显得独特……
270,第一卷打卡完成。爽文，就是少了点画面感。本来是想快速过剧情所以才看书，但是现在觉得应该还是去看电视剧吧！
271,因为电视剧更新太慢开始看小说啦 小说特别好看 阴谋诡计看得好过瘾  人 从来不是以好坏划分 世界从来不是非黑即白
272,除了男主光环过于强大外……
273,人物名儿取的，是多想放假啊😂😂猫腻的书还是可看的，典故丰富，文风澹澹，涓涓如流（但我还是更喜欢唐七的笔）！累赘但多了，不免有更新文学榨读者字符之感
275,比电视剧有意思一点
276,看了电视剧来看一点小说，这部当年也算大火了，然而写的什么鬼玩意儿啊，废话会不会太多了一点啊？就算我接受了作者的一切设定，每个人物还是跟提线木偶一样，完全没有灵魂，也完全没有爽点，又跟裹脚布一样长，谁有心情往下看？
277,真心扯淡，依旧是穿越屌丝大杀四方的故事。大约怕杰克苏苏的不够，给男主安了个玛丽苏的妈妈。玛丽苏妈也是够了，能带着巴特雷去古代狙人，文治武功无所不能。当权者不干死她才怪。
280,可能这本书本身达不到五星的高度，但是我很喜欢，安利给所有人看。我看的书虽然杂，不过这种权谋类的比较少。我是先听我爸妈听书的时候听了一些，再看了几集电视剧，再开始看书的。我对这种大男主戏还是很感兴趣的，它的感情线少，语言幽默，有不少反转以及几乎全员带脑子都是我很喜欢的点，甚至远远盖过了我对人物三观的不喜，就是林依晨这个名字实在过于出戏了。我看的是电子书，还没看完三分之一就被剧透了一脸，感觉重要人物都出现了，不知道后面要如何不多次重复之前这些暗杀陷害的套路，想出新的内容，还蛮期待的。
281,文笔真的很普通，行文叙事比较墨迹且缺少起伏，红楼梦以及其他名人名句几次怒刷存在感，却嵌入生硬。不喜欢脑洞完全大开的世界构架，核辐射什么的。
282,还是书比较细腻。
283,第一卷 第二卷 可以的。
