vote,user,user_url,star,level,release_time,content
0,夏至唧,https://www.douban.com/people/154279589/,40,推荐,2020-01-03,看完了全部的《庆余年》，感觉确实写得挺好的。文中的许多人形象都很丰满。长确实是太长了，而且主角就像是一路在开bug，稍显得传奇了一点。总的来说还是很享受的阅读过程~
0,闲田秧子,https://www.douban.com/people/190540787/,30,还行,2020-01-03,看完了剧版和小说第一部，也看了知乎里全书概述，只能说小说第一部于全是而言只是个人成长和背景介绍。待看完全书再评。
0,呵呵好吗,https://www.douban.com/people/Andgler/,30,还行,2020-01-03,超强主角光环的转世重生YY文，无聊。
0,猫薄荷🇨🇳,https://www.douban.com/people/59616669/,20,较差,2020-01-03,意淫作品，没有任何文学价值！
0,松鼠,https://www.douban.com/people/61274961/,50,力荐,2020-01-03,文字细腻，反转
0,苏星禾,https://www.douban.com/people/168010526/,30,还行,2020-01-03,比较一般，感觉电视剧比书好看一些
0,陟南,https://www.douban.com/people/143752882/,,,,总算读完了。发个宏愿：以后再也不碰网文了，太浪费时间而基本毫无进益。
0,That's all,https://www.douban.com/people/tumengying/,30,还行,2020-01-03,小范闲从乡下到城里，从孤身一人到妻妹兄弟
0,消失的小西瓜,https://www.douban.com/people/namefade/,40,推荐,2020-01-03,跟风在看，不论好坏
0,浅浅~~慎言,https://www.douban.com/people/20184533/,40,推荐,2020-01-02,花了一个月才看完，感觉细节描写很吸引人，但是大的情节上不是很喜欢。
1,youyouyongyuan,https://www.douban.com/people/104313136/,30,还行,2020-01-02,第一次看男频小说，果然是男主开挂，一堆厉害人物围着转那种，也就是整个故事的脑洞挺厉害的
0,duanna,https://www.douban.com/people/46738767/,30,还行,2020-01-02,超能编故事，但我不喜欢它的内核，所以竟然在看到第五部断舍离了
0,佳爷疯了快来送,https://www.douban.com/people/172075081/,30,还行,2020-01-02,"一口气看完全套的爽文
其实精简一下没必要这么多篇幅"
0,背对众生,https://www.douban.com/people/168466241/,40,推荐,2020-01-02,"比起烂大街的网络小说，要有趣一些。
可悲的不是看《庆余年》类型的书，而是只看《庆余年》这一类书。"
0,涵泳大官人,https://www.douban.com/people/154840224/,20,较差,2020-01-01,网文都比古龙写得好
0,一尘,https://www.douban.com/people/3175278/,30,还行,2020-01-01,看个热闹，电视剧热播了，回来记录一下。
0,bbiwang,https://www.douban.com/people/4308388/,40,推荐,2020-01-01,没有电视剧那么好，也不错啦
0,哎呦，又是你,https://www.douban.com/people/158495969/,50,力荐,2020-01-01,庆余年在网络小说中确实是难得一见的精品，故事精彩，节奏流畅，主角配角形象丰满立体。另一方面，由于身世+穿越带来的多重外挂，有着明显的快餐特性。主角的名字真是犯嫌啊，作者不爱，我也不爱，整个故事像是或者的庆帝与死去的叶轻眉故事的延伸，主角从头至尾也没走出他们的影响。
0,直死之魔眼,https://www.douban.com/people/154607267/,40,推荐,2020-01-01,大宗师挂太厉害，斗智看着还行，后期揭露的设定蛋疼
0,Cross_wisa,https://www.douban.com/people/168949986/,40,推荐,2020-01-01,爽文的特点，前面还能HOLD住，后面大宗师设定太匪夷所思了。
1,刀柄君,https://www.douban.com/people/104818900/,10,很差,2020-01-01,为数不多电视剧远胜原著的。
0,Foam.,https://www.douban.com/people/138200881/,30,还行,2020-01-01,为了安利我小说的这个人，打了三星。在这样一个特殊的日子里看完了这本书，还是很感慨的。电视剧应该会还很多剧情吧。。
0,大童先生,https://www.douban.com/people/152991696/,40,推荐,2020-01-02,电视还不错，来追下小说！ 挺有趣的，偶尔看下放松和愉快
0,maxaini,https://www.douban.com/people/163368937/,10,很差,2020-01-01,很差，很垃圾
0,舜华白月,https://www.douban.com/people/203227821/,10,很差,2020-01-01,"书跟作者人一样
就是一个肥宅白日做梦，不道德，不爱国，装满外挂结果到此一游
毒害不少青少年"
1,维尼猫,https://www.douban.com/people/140475879/,,,,就这文笔…………没进碎纸机就是奇迹了……
0,Mrsw,https://www.douban.com/people/43579556/,40,推荐,2019-12-31,书还是比电视剧精彩
0,两仪,https://www.douban.com/people/208424701/,40,推荐,2019-12-31,庆帝活的太难了
0,人间不值得,https://www.douban.com/people/160001714/,10,很差,2019-12-31,挺垃圾的
0,梅长苏,https://www.douban.com/people/196497261/,40,推荐,2019-12-31,从电视剧来的，看的书不多，这本应该是看的最多的，也看了很多评论，那些说不喜欢的我能理解，但是也不能用现在的眼光去审视十年前的作品吧。
0,栩颜,https://www.douban.com/people/63893254/,30,还行,2019-12-31,这样的权谋在真实世界能否活下来呢
0,少焉,https://www.douban.com/people/46713067/,30,还行,2019-12-31,因为等不及电视的更新，于是几天时间看完。盛名之下，其实难负。太过啰嗦都还是次要的，不明白到底想表达一个什么主题，一个个所谓的大局套小局，都不过是圆不过来，然后只能往“早就知道了”的阴谋上套。一环二环三环，等人挂了再弄出来一个四环五环，最后强行收尾。就一普通的穿越文，看过就不会再看作者的任何书了。
0,jasmineyy,https://www.douban.com/people/135339544/,20,较差,2020-01-02,和电视剧一起看的，也太长了吧，我感觉看了很久才到一半。主角光环太强大，啥都会，最强的人都是他这一队的，他不开挂就逆天了。
1,我叫刘俊俊,https://www.douban.com/people/downtodreaming/,20,较差,2019-12-31,好油腻，我要吐了，和《雪中悍刀行》一样，是不是蜜汁自信的男作者都喜欢让主角一进城、一逛街就逛青楼，一逛青楼就能和花魁睡啊？花魁一定是刺杀失败反被男主驯服，这些男作者脑子里都在想什么啊？
0,我想要一辆货车,https://www.douban.com/people/145923501/,30,还行,2019-12-31,看了电视剧来看的，因为想知道结局。一路跳着看的，废话有点多，结局不喜欢，为脑洞给2分，最后一分给庆帝，可是结局他死了，很不开心。这样一个人怎么能死，要是我写的话，大概死的是范闲，我宁愿皇帝老儿天天有事没事怀念他一下。
0,孟夏,https://www.douban.com/people/91034999/,30,还行,2019-12-31,目前看起来还行
0,爱在六月,https://www.douban.com/people/168578564/,50,力荐,2019-12-31,不是时间穿越，不是平行世界……可以与三体媲美的想象力
0,松露,https://www.douban.com/people/54681191/,30,还行,2019-12-31,太假了
0,年轻的搬砖工哟,https://www.douban.com/people/132900675/,20,较差,2019-12-31,不知道分数为什么这么高，上来就开金手指，意淫之作
0,香墨弯弯,https://www.douban.com/people/1493055/,40,推荐,2019-12-31,读过……为了和大家有共同语言又没耐心看剧
0,aw024,https://www.douban.com/people/sauryme/,40,推荐,2020-01-03,"电视剧看了五分钟放弃了。。。主角光环心想事成万事如意，这也不是严肃文学，挺好玩的。
-----
这故事太顺利，书我也放弃了"
0,如果不曾来过,https://www.douban.com/people/190805214/,40,推荐,2019-12-31,补得我累死了
0,小少野,https://www.douban.com/people/178346628/,10,很差,2019-12-31,太一般了，电视剧编剧改编不错
0,望涛石,https://www.douban.com/people/39955214/,50,力荐,2019-12-30,因为忍受不了腾讯VIP中P选择了微信读书
0,angela,https://www.douban.com/people/4286331/,40,推荐,2019-12-30,看了第一集电视后 对剧情很感兴趣 抓起书来看完了第一本 发现自己只是喜欢第一集的小演员韩昊霖 哈哈😄 我的品味总是这么与众不同
0,悼亡者之瞳,https://www.douban.com/people/74546208/,30,还行,2019-12-30,鸡肋，还不如电视剧好看。
0,我是黄绿色,https://www.douban.com/people/197360707/,20,较差,2019-12-30,错过了那个年代，就错过了精彩。现在再回读，再也看不进这种“老套”，“无厘头”的种马文啦。
0,冰弓玄箭YAMW,https://www.douban.com/people/bowarrow/,40,推荐,2019-12-30,太长了
0,Redhair,https://www.douban.com/people/chudengshulun/,20,较差,2019-12-30,电视剧改编出色。
0,看书的猫z,https://www.douban.com/people/160166566/,10,很差,2019-12-30,看到五岁内力雄厚 弃
1,芝芝芝...麻,https://www.douban.com/people/54393031/,20,较差,2019-12-30,不知道语言这么贫乏，恐怖、极为、变态几个词车轱辘来回用的小说为什么这么火…到处抄古诗影视剧情作为所谓的埋梗，写厉害写漂亮只停留在用形容词告诉你很厉害很漂亮的程度...大概我太老了，实在看不下去
0,无国的王,https://www.douban.com/people/moidior/,30,还行,2019-12-30,和几乎所有网络小说一样，8成以上是水分。而造成这个现象的原因就是按字数算钱。据说猫腻的稿费是一字三元，所以也不意外，能百万字写完的也要写个千万字。
0,郁闷神经刀,https://www.douban.com/people/60256766/,40,推荐,2019-12-29,科幻小说
0,落九,https://www.douban.com/people/29102945/,30,还行,2019-12-29,中规中矩……
0,能坐着绝不躺着,https://www.douban.com/people/194278519/,50,力荐,2019-12-29,庆余年虽然融合了多种元素，但是不得不称赞一声猫腻，格局如此宏大但叙事仍然有条不紊，文笔流畅自然，男主装逼到位，深得我心，不会因为莫名其妙的原因就放弃自己的高科技。而且猫腻的文笔也是一大看点，网络小说中少见的细腻
1,徐宝强,https://www.douban.com/people/vfhk/,40,推荐,2019-12-29,从连续剧找过来的，实在是太长了。。网络小说看着没啥脑子写起来实在也不容易，这种即时评论反馈的机制让作品太容易就陷入平庸。另一个角度看，可见当年金庸那代人是有多厉害。
2,咕噜噜芝士🧀️,https://www.douban.com/people/141436215/,30,还行,2019-12-29,对比起来电视剧编剧有点牛的
1,小胖,https://www.douban.com/people/177459772/,10,很差,2019-12-29,为挣钱胡编乱造想到哪写到哪拖拉无止境故意曲来折去凑字数的低水平网文，不值得浪费时间读完
0,已注销,https://www.douban.com/people/178507772/,50,力荐,2019-12-29,因为电视剧去看了这本小说，整个小说的架构和格局非常的吸引我。不是那种传统的男频小说，里面的权谋的部分非常的吸引人，然后也会让人感觉到作为男主他整个的思维缜密和情商优越。当然不排除就是肯定会有男主光环这样子的东西存在，但是他的整个的故事情节非常的好。
0,时玉jade,https://www.douban.com/people/187857609/,40,推荐,2019-12-29,好看，架构宏大，草蛇灰线，不乏诙谐。我带着范闲成为大宗师的期待一往无前阅读，谁知他竟拼得自己浑厚破败，想来也是，从纯粹的武学境界到放眼天下掌握局势，手握制衡力量，也许这就是他个人人格和行事的成熟。讲讲cp，我自然是支持海棠朵朵的，所谓知心，可遇不可求，林婉儿大概属于范闲内心永远的温柔，知心人常常败于白月光，那又如何，我是非常喜欢海棠朵朵的。
0,墨花月白,https://www.douban.com/people/204270172/,30,还行,2019-12-29,前面挺好的，整部读了一半，后面太长了读不下去了。
0,Tommy,https://www.douban.com/people/45418355/,40,推荐,2019-12-29,很多年前看的当前热播剧。
0,乖小囡or怪小囡,https://www.douban.com/people/59944601/,40,推荐,2019-12-29,看完电视剧才开始看书，书比电视剧的细节更丰富，一本读起来很有意思的书
0,微笑,https://www.douban.com/people/2039900/,30,还行,2019-12-29,太长了，看累了。
0,Teeny,https://www.douban.com/people/49251338/,30,还行,2019-12-29,书其实挺一般般…
0,终究被遗忘,https://www.douban.com/people/56138995/,40,推荐,2019-12-29,确认一本书纪念我大约看完了一套庆余年吧，小说和电视剧的差距，或许就在于小说更加的符合我们90后的观感吧，曲径通幽处的剧情让人无可自拔，但也还是会有很多不合理之处会让我们挑刺，虽然猫腻很老练得平滑了过去，但还是有一些唐突。在我看完这本书的时候，才突然发现居然是10年前的产物，却又实在让人惊叹，当年穿越流达到高峰的时代，这部小说勾去了多少人的心魂。
0,涂涂,https://www.douban.com/people/attutu/,30,还行,2019-12-29,写的不错，但是实在太长，看着累
0,紫川秀,https://www.douban.com/people/186841922/,50,力荐,2019-12-29,我有罪😂，看到男主长大是我忍耐的极限了，我确实是奔着男主比肩女子的美貌来的。#细数那些比女人还美的起点男主#
0,Song,https://www.douban.com/people/36527798/,20,较差,2019-12-29,追剧追完第一季不过瘾来看的小说，什么玩意儿啊，不说情节啥的了，这文笔，连篇废话，读起来味同嚼蜡，这也能有8分？
0,monkey,https://www.douban.com/people/39229218/,40,推荐,2019-12-28,挺好看的，情节跌宕起伏。
0,black.f,https://www.douban.com/people/black_f/,20,较差,2019-12-28,看了看原书才觉得改编是真的厉害...
0,HERE💭,https://www.douban.com/people/162832777/,40,推荐,2019-12-28,除了服道化有点尴尬，其他都好好
0,Tyrion-Lv,https://www.douban.com/people/139480877/,50,力荐,2019-12-28,"没有仔细算过，来潍坊之前就已经开始看了，到今日已经过了两个月。
我不是很爱读书，但是读小说的时候特别容易角色带入。
跟范闲一起经历了庆国的风风雨雨，总觉得自己人生太平凡，没有那么波澜壮阔，可又觉得挺幸运，能够有那么多厉害的小说家，带着你去浏览，去感受，那些你心中真的向往的，感谢这本庆余年，陪我度过这两个月"
0,radical0,https://www.douban.com/people/87581317/,40,推荐,2019-12-28,故事还不错，很喜欢里面的女性主角
0,758（ghdhsiajs,https://www.douban.com/people/182101698/,40,推荐,2019-12-28,仅标一本代全册，前面真的差点就弃了.....后面剧情情节丰富了起来，就连文笔都提升明显…..算是近年来看完的长篇小说～～陈萍萍真的❤️了
0,夏末,https://www.douban.com/people/154060314/,50,力荐,2019-12-28,因为庆余年，去把猫腻的其他小说看了，即便是我不爱看的玄幻类。
0,leo,https://www.douban.com/people/luorizhaohai/,30,还行,2019-12-28,我几乎从不看长篇非名著类小说，因为电视剧实在太火了，得赶紧把情节看完好不再想这些事情。穿越方式的构思还是挺巧妙的，是个比较有意思的故事。
0,宋大帅,https://www.douban.com/people/50125157/,30,还行,2019-12-28,2019年12月，困顿中，读完[远来之客]，塑造的人物有特点，只是主角开挂的人生让我只能呵呵！
0,尘埃,https://www.douban.com/people/160673209/,40,推荐,2019-12-28,"长大之后就看不动这些了
猫腻绝对是一个精致的利己主义者
要是15，6岁时看绝对会喜欢"
1,乔班尼,https://www.douban.com/people/seven1122/,20,较差,2019-12-28,30章弃。看大家都不喜欢我也就放心了。啥玩意儿，电视还改的好看一点儿也没好看哪儿去
0,只是个打酱油的,https://www.douban.com/people/126577157/,10,很差,2019-12-28,男生看的网络爽文，就，很一般吧，作者文笔也很一般
0,kingbaby,https://www.douban.com/people/55593947/,40,推荐,2019-12-29,电视剧来的，不纠结合理性，就是在符合逻辑的情况下看着爽就好了。剧情，细节都没有明显漏洞，不拖沓，没有强推剧情。电视剧中有些改编更好
0,大大口香糖,https://www.douban.com/people/46894156/,40,推荐,2019-12-28,男主光环
0,童非童,https://www.douban.com/people/Torence/,30,还行,2019-12-28,长爽文里开篇算是偏平的，如果不是电视剧开播，真没法把后面追下去。
0,David.Xiao,https://www.douban.com/people/douban_CEO/,30,还行,2019-12-28,因为电视剧很火看了一下小说，不是太合我的阅读口味，宫斗型。后面的章节都是跳着看完，主要想看下神庙的设定。可能是早期网络小学，想象力较一般。
1,Eve：）,https://www.douban.com/people/185857441/,20,较差,2019-12-28,文笔还行，剧情还算有逻辑，就是这大男子主义让我着实看不下去
0,小冰,https://www.douban.com/people/198320456/,50,力荐,2019-12-27,还挺有意思的，叶轻眉以为自己是玛丽苏女主，但其实是个炮灰，还有这作者取名也太随意了吧，大神都是这样吗，哈哈
0,抚琴灬夜上弦,https://www.douban.com/people/60477400/,20,较差,2019-12-27,废话连篇，剧情拖沓，看了88章，实在看不下去了。
0,Maybeajoke,https://www.douban.com/people/Jason_Mao/,50,力荐,2019-12-27,太长了 看了快一个月
0,五蠹人,https://www.douban.com/people/11350540/,30,还行,2019-12-27,被吹得这么狠，以为很好看…但实际上还是逃不开网络小说的架构。看了三十几章没兴趣读了
0,果冻,https://www.douban.com/people/29469142/,40,推荐,2019-12-27,招了电视剧的道去看的原著。作者脑洞很大，是一篇长长的爽文。
0,一抹阳光,https://www.douban.com/people/184553055/,30,还行,2019-12-27,电视看过，再看书
0,hey,https://www.douban.com/people/4068619/,40,推荐,2019-12-27,四颗星，觉得收尾不够有力，前半段读得很开心。
0,张小凡,https://www.douban.com/people/208541517/,40,推荐,2019-12-27,很好看很好看
0,芜塘笙人,https://www.douban.com/people/55430348/,30,还行,2019-12-27,爽文穿越小说
0,昶空,https://www.douban.com/people/176751467/,50,力荐,2019-12-27,这是一个很大的故事
0,小兔子,https://www.douban.com/people/208537085/,50,力荐,2019-12-28,看完小说了！
0,楚boss,https://www.douban.com/people/114279236/,30,还行,2019-12-27,抄袭古诗有点雷人有点不要脸，不过那时几乎穿越主角都这么做
3,z,https://www.douban.com/people/202748668/,10,很差,2019-12-27,看到大家都是差评我就放心了
0,水水水水,https://www.douban.com/people/194998189/,40,推荐,2019-12-27,还是书对我更有吸引力，更有想象的空间
0,艺百分*Helen,https://www.douban.com/people/4503045/,40,推荐,2019-12-27,为了翻找看过的记录，我居然去翻看了开心网读书记录。是唯姐推荐我去看这套书，我是2011年一口气看完了7本，那个时候纸质书只出到第六本，最后一本是电子书。对于这套书的印象不是很深刻，权臣宝典好像说得有点过。只不过在穿越剧里思路可能和别的作者不太一样。对于近期热播这部电视剧，还原度我真说不上来，因为故事情节已经有点模糊了～有人想看原著，可以问我借书，记得还我就行～
0,Ejxxx,https://www.douban.com/people/160442637/,,,,本着探寻大冰川期的设定到底是怎么回事的念头看的 看完感觉 还是王倦改编得好
1,Aether不加糖,https://www.douban.com/people/Emilian/,10,很差,2019-12-26,就是种马文，男主开的挂太多了
0,冬夜の鸦羽君,https://www.douban.com/people/56559653/,40,推荐,2019-12-26,第一卷挺有趣，穿越+种田还行。后面越来越崩……
0,王尼是聪明孩纸,https://www.douban.com/people/143159950/,50,力荐,2019-12-26,爱了爱了爱了
0,郑铸城,https://www.douban.com/people/180355957/,50,力荐,2019-12-26,很久以前读的了
0,小灰,https://www.douban.com/people/46162518/,10,很差,2019-12-26,.....
0,狗子,https://www.douban.com/people/164314826/,10,很差,2019-12-26,文笔和故事都太差了吧，几句就能窥见作者脑回路的断层了。
0,YXM,https://www.douban.com/people/208514150/,20,较差,2019-12-26,我认为这个并不是一本好小说！最差劲的在于小说中人物的性格特点，每个人都一样…还都是一样的脾气！
0,伊人红妆,https://www.douban.com/people/188712835/,50,力荐,2019-12-26,看起来！
0,天池山人,https://www.douban.com/people/181897012/,10,很差,2019-12-26,厕纸
0,风如水,https://www.douban.com/people/4247098/,30,还行,2019-12-26,天纵奇才的人设，看看解闷可以的。
0,面具下的皮囊,https://www.douban.com/people/43947197/,40,推荐,2019-12-26,最完美的还是想象，书比剧有趣多了
1,ROC,https://www.douban.com/people/75200239/,10,很差,2019-12-26,什么狗屁剧情，作者三观不正！主角就是作者意淫的自己！屌丝一个。。猫腻就会写这种书，适合毛没长齐的看！
0,Simaga,https://www.douban.com/people/66521436/,40,推荐,2019-12-26,哈哈，看完电视剧看结局。
0,CASPINE,https://www.douban.com/people/Caspino/,20,较差,2019-12-27,剧情的套路就是起点升级流的小说，人物的设定也套路，文笔也一般，至少作者抛出来的梗还没赵本山的好笑，不明白评分怎么这么好。作者笔下流露出对自己的一种自恋。
0,Lynn,https://www.douban.com/people/51724193/,30,还行,2019-12-26,可能是因为我不适应看网文，只觉得男主毫无魅力，情节没啥特别，总之不好看！不过翻完小说我释怀了：电视剧我不爱看不能怪我嘛！就这小说能拍成啥好剧？为啥恋爱戏背诗戏演得那么尴尬？书里写得就很突兀啊！金庸的武侠小说也是男主角一路开挂还吸引n多好姑娘的故事，但至少人家的主角是饱满的、有魅力的，让我觉得郭靖一路遇贵人是因为他的人品，可以自然接受！噢张若昀千万不要宣传自己和范闲有什么相似，否则我就要连他一起不喜欢了！
0,Lollo’M,https://www.douban.com/people/185604287/,50,力荐,2019-12-26,庆余年这书读了很久了，也是为数不多男主架空穿越向我非常喜欢的一部书，当初追的时候，也不过是作为书荒了随意点击的一部，结果一看就入了坑，继而第一次如此喜欢一部作品不是因为主角爽文流，而是因为书里太多的配角，他们像星空里耀眼的星星，也许怼整片星空来说，他们只能发出一点光，然后对于星体本身来说，是独一无二的存在。陈萍萍，叶轻眉，五竹，庆帝，海棠朵朵，影子....他们都很耀眼，而且中后期脑洞大的我目瞪口呆，哈哈哈哈哈哈，真的非常推荐！
0,酷跑,https://www.douban.com/people/206348773/,40,推荐,2019-12-26,别人强烈推荐的，故事很棒很棒，但文笔不是我的菜
0,lijian风吹麦浪,https://www.douban.com/people/163290792/,40,推荐,2019-12-26,迅速刷完一本
0,蘅初,https://www.douban.com/people/56870188/,,,,终于看完了。真长……
0,我想什么你猜,https://www.douban.com/people/courageous/,30,还行,2019-12-25,男版玛丽苏
0,草冢玉,https://www.douban.com/people/74100440/,30,还行,2019-12-25,文笔还是不错的，个人倒是觉得，电视剧的改编还挺出彩的，看小说以后的进展吧
0,唔。,https://www.douban.com/people/wuye2011/,,,,我居然之前看过这套书………也有很久时间了………具体内容都不太记得了………昨天重新看小说，怎么越看越熟悉呢？！
0,Misa,https://www.douban.com/people/misawang/,30,还行,2019-12-25,怀疑看的是假原著。。。浓浓的网络味道，说不出的违和感，或许是先入为主吧。两卷只是电视的20集，是不是要从第五卷开始读。。。
1,不喜苹果奥利弗,https://www.douban.com/people/chenyinchenyin/,,,,作者对女性真是本能轻视啊，男女情节不论兄妹情侣或其他，都有一股性骚扰的气息
0,成為F,https://www.douban.com/people/191194181/,20,较差,2019-12-28,以前的我或许看得下去
0,海浪沙滩冰淇淋,https://www.douban.com/people/157151183/,40,推荐,2019-12-25,突然觉得有必要标注一下我看过这本书（不然你们以为我高三都在干嘛）
0,千呆,https://www.douban.com/people/shenn/,30,还行,2020-01-06,第一卷闭，想弃后面的，行文屁话太多，跳过去看了后记
0,糯糯糯米,https://www.douban.com/people/173665697/,40,推荐,2019-12-25,"惊艳
不管作者对男主的设定是不是太无敌，本来就是穿越加架空，真不真实已经不重要了，看得爽最重要
但是把阴谋阳谋写得这样惊心动魄的，还是很好看的
就是没想到，这书，怎么那么长那么长。。。比哈利波特还长吧。。。感觉可以写几代人的故事了。。。"
2,凌子,https://www.douban.com/people/76576720/,30,还行,2019-12-25,玛丽苏长公主vs龙傲天叶轻眉，猫腻你不懂女生！拼爹吗？拼妈吗？谁拼得过范闲哟。
1,4A级评论员,https://www.douban.com/people/58897478/,20,较差,2019-12-25,故事有意思，文笔真是烂！
0,怪人biubiubiu,https://www.douban.com/people/52431347/,40,推荐,2019-12-24,看得爽就够了
0,斯文。,https://www.douban.com/people/147647760/,10,很差,2019-12-24,"因为最近电视剧的热播，来看小说。想知道是什么样的原著，才能让那么多老戏骨来演一部网剧。真的很失望。

第1-5卷没有高潮起伏，第6卷修饰词太多，第7卷又进展的太慢太转折，感觉整个人物形象，因为作者的喜恶强行转折。不知道是什么支撑着我看完。

对作者很失望。
明明结局爆发近在眼前，偏偏硬生生反转，深度怀疑是为了凑字数。

对范闲失望。
陈萍萍死后、五竹庆帝战斗的时候，范闲的选择太冷酷无情了。他终究是被塑造成了一个  被寄予厚望 却一直躲在强者背后的光环里 自以为是的家伙。

全本87多个小时的阅读，只喜欢陈萍萍死时和范闲在神庙试图唤醒五竹 两个段落。那时候的范闲还有情，不知道为什么后来就没了。

还要吐槽一下五竹的黑布背后居然是一道彩虹，我真的要被笑死被气死了。"
0,吃货,https://www.douban.com/people/35634687/,30,还行,2019-12-24,文风太过油腻 努力看了一大半 还是弃了。
1,YC诺丁汉森,https://www.douban.com/people/76364987/,40,推荐,2019-12-26,"卷一：电视剧两集交代卷二：12.24-12.25ing12.26看完"
