,age,work_days,job,invest_income,invest_loss,province,education,home_role,marital_status,education_time,nation,work_type,gender
202,44,40,3,0,0,32,9,2,3,10,4,5,1
203,52,40,3,0,0,32,10,2,3,9,4,7,1
204,31,40,11,0,0,32,10,2,3,9,4,5,1
205,56,40,9,0,0,32,10,2,3,9,4,8,1
206,31,40,8,0,0,32,0,4,5,13,4,8,0
207,27,40,0,0,0,32,0,3,2,13,2,8,1
208,17,14,8,0,0,32,13,3,5,6,4,8,0
209,22,45,8,0,0,32,0,4,5,13,4,8,0
210,46,40,1,0,0,32,10,0,5,9,4,8,1
211,50,60,11,0,0,32,10,2,3,9,4,5,1
212,20,20,12,594,0,32,6,3,5,12,4,2,0
213,48,56,9,0,0,32,15,2,3,7,2,8,1
214,30,40,3,5013,0,32,10,2,3,9,4,8,1
215,33,42,11,0,0,6,10,1,3,9,4,8,0
216,37,50,2,2105,0,32,6,2,3,12,4,7,1
217,62,40,7,0,0,32,9,5,1,10,4,8,0
218,20,25,12,0,0,32,9,0,5,10,4,2,0
219,26,40,1,0,0,32,1,3,5,11,4,8,1
220,41,72,3,0,0,32,10,2,3,9,4,8,1
221,17,5,8,0,0,32,13,3,5,6,4,8,0
222,45,48,10,0,0,32,9,4,2,10,4,8,0
223,41,32,6,0,0,32,10,5,2,9,4,8,0
224,49,43,10,0,0,32,9,4,2,10,4,8,0
225,35,40,10,0,0,22,1,1,3,11,4,8,0
226,50,52,14,0,0,32,9,2,3,10,4,0,1
227,44,40,10,0,0,32,10,0,5,9,4,8,0
228,67,18,8,991,0,32,10,4,1,9,4,8,0
229,40,40,10,0,0,32,6,1,3,12,4,7,0
230,55,60,9,10520,0,32,4,4,2,5,4,8,1
231,31,50,5,0,0,38,8,4,5,16,4,0,1
232,25,40,10,0,0,32,10,3,5,9,4,8,0
233,26,40,5,0,0,32,0,4,5,13,4,8,0
234,30,45,3,0,0,32,10,4,5,9,4,8,1
235,54,40,5,0,0,32,9,2,3,10,4,8,1
236,40,32,12,0,0,32,10,4,2,9,2,2,0
237,20,40,8,0,0,32,10,3,5,9,4,8,1
238,24,50,9,0,0,32,10,4,2,9,4,7,1
239,61,40,9,0,0,30,7,2,3,4,4,8,1
240,22,40,8,0,0,32,1,3,5,11,4,8,0
241,42,50,2,0,0,32,10,2,3,9,4,7,1
242,30,38,3,0,0,32,10,3,5,9,4,8,1
243,41,60,5,0,0,32,12,2,3,15,4,8,1
244,36,40,14,0,0,32,0,5,5,13,2,4,0
245,19,30,6,0,0,32,10,3,5,9,4,8,0
246,39,40,8,0,0,32,11,4,2,8,4,8,0
247,60,40,12,0,0,32,7,2,3,4,4,2,1
248,24,40,7,0,0,34,9,1,3,10,4,8,0
249,22,40,10,0,0,32,10,1,3,9,4,8,0
250,24,45,11,0,0,32,9,4,5,10,2,7,1
251,19,35,12,0,0,38,7,4,0,4,4,2,0
252,26,40,10,0,0,32,1,5,5,11,4,0,1
253,20,40,12,0,0,32,9,3,5,10,4,2,0
254,66,50,8,0,0,32,10,2,3,9,4,8,1
255,43,40,2,0,0,32,9,2,3,10,4,0,1
256,48,38,11,7298,0,32,10,2,3,9,2,0,1
257,32,50,13,5178,0,32,9,2,3,10,4,8,1
258,30,40,9,0,0,32,9,4,5,10,4,8,1
259,47,60,8,99999,0,32,9,2,3,10,4,8,1
260,41,40,6,0,0,20,10,5,5,9,4,8,0
261,42,40,3,0,0,32,9,2,3,10,2,0,1
262,39,50,13,0,0,32,10,2,3,9,4,8,1
263,52,65,11,0,0,32,9,4,2,10,4,5,1
264,37,70,6,0,0,12,0,4,4,13,4,8,1
265,21,35,3,0,0,38,10,4,5,9,4,8,1
266,48,40,13,0,0,32,13,2,3,6,4,8,1
267,20,25,0,0,0,38,2,4,5,3,4,8,1
268,69,25,5,0,0,32,5,2,3,14,4,8,1
269,35,80,5,0,1977,32,12,2,3,15,4,8,1
270,22,39,6,0,0,15,9,0,5,10,2,4,1
271,31,50,11,0,0,32,9,4,2,10,4,8,0
272,43,42,9,0,0,32,10,2,3,9,4,8,1
273,29,40,10,0,0,32,0,2,3,13,4,8,1
274,21,40,12,0,0,32,10,5,5,9,4,2,0
275,43,37,3,0,0,32,10,2,3,9,4,4,1
276,28,4,5,0,0,32,0,4,5,13,4,7,0
277,27,40,9,0,0,32,10,5,4,9,4,8,0
278,33,40,11,0,0,32,10,2,3,9,4,8,1
279,30,60,5,0,0,32,0,4,5,13,4,8,1
280,43,45,8,0,0,32,0,5,2,13,4,7,1
281,44,40,5,0,0,32,10,4,2,9,4,8,1
282,38,40,3,0,0,32,10,2,3,9,4,8,1
283,48,35,5,0,0,32,9,2,3,10,4,7,1
284,65,40,12,0,0,32,0,2,3,13,4,2,1
285,61,40,10,0,0,32,0,4,2,13,4,8,1
286,40,55,1,0,0,32,9,2,3,10,4,8,1
287,33,55,8,0,1672,32,10,2,3,9,4,8,1
288,24,20,5,0,0,32,0,4,5,13,4,4,0
289,23,20,6,0,0,32,11,4,5,8,4,4,1
290,56,40,10,0,0,6,9,4,5,10,4,8,0
291,35,35,2,0,0,32,10,2,3,9,4,8,1
292,44,50,6,0,0,36,10,1,3,9,3,8,0
293,31,40,10,0,0,32,10,2,3,9,4,8,1
294,17,15,8,0,0,32,13,3,5,6,4,8,1
295,20,28,12,0,0,32,9,4,5,10,1,2,0
296,40,45,3,0,1887,32,10,2,3,9,4,8,1
297,26,42,5,0,0,32,0,3,5,13,2,0,0
298,17,40,6,0,0,32,15,3,5,7,4,8,1
299,31,41,10,0,0,32,6,5,2,12,4,8,0
300,44,50,5,0,0,32,8,2,3,16,4,8,1
301,33,50,3,0,0,32,6,2,3,12,4,0,1
302,42,40,2,0,0,20,4,4,5,5,4,8,1
303,48,60,9,0,0,32,10,2,3,9,4,8,1
304,70,6,12,0,0,32,0,2,3,13,4,2,1
305,56,40,8,0,0,32,0,2,3,13,4,6,1
306,51,60,3,3137,0,32,10,2,3,9,4,7,1
307,47,60,3,0,0,1,10,2,3,9,3,8,1
308,25,35,10,0,0,32,9,3,5,10,4,8,1
309,19,50,6,0,0,39,2,4,5,3,4,8,1
310,34,40,8,0,0,32,6,4,2,12,4,8,1
311,23,30,11,0,0,32,9,3,5,10,4,8,1
312,41,40,13,0,0,26,10,4,5,9,4,8,1
313,55,50,11,0,0,32,0,2,3,13,4,8,1
314,48,40,11,0,0,32,10,3,5,9,4,0,0
315,36,40,3,0,0,32,10,2,3,9,4,8,1
316,47,50,13,0,2258,32,5,4,2,14,4,7,1
317,68,24,7,0,0,32,10,5,2,9,2,8,0
318,25,40,11,0,0,32,15,5,2,7,4,8,0
319,54,50,8,0,0,32,10,4,2,9,4,5,1
320,29,40,1,0,0,32,11,4,5,8,4,8,1
321,45,65,11,0,0,32,9,2,3,10,4,8,1
322,29,40,8,0,0,32,6,4,5,12,4,8,1
323,19,20,9,0,0,32,10,0,3,9,4,8,1
324,64,40,3,0,0,32,10,2,3,9,4,8,1
325,30,40,3,0,0,32,9,2,3,10,4,8,1
326,73,7,12,0,0,32,0,5,1,13,4,2,0
327,33,40,10,0,0,32,10,3,2,9,4,8,0
328,60,40,11,0,0,32,5,2,3,14,4,0,1
329,41,55,5,7688,0,32,0,2,3,13,4,8,1
330,68,40,12,0,0,32,7,2,3,4,1,2,1
331,59,40,3,0,0,32,10,4,1,9,2,0,1
332,19,30,8,0,0,32,11,3,5,8,4,8,0
333,81,30,12,0,0,32,3,4,1,2,4,2,1
334,66,40,12,0,0,32,15,4,1,7,2,2,0
335,46,50,11,0,0,32,0,4,2,13,4,5,0
336,41,40,5,0,0,32,0,2,3,13,4,8,1
337,29,40,5,0,0,32,5,4,5,14,4,8,1
338,48,40,3,0,0,32,10,3,5,9,4,8,1
339,19,20,8,0,0,32,9,3,5,10,4,8,1
340,24,40,10,0,0,32,9,3,5,10,4,8,1
341,21,20,10,0,0,32,9,4,5,10,4,8,0
342,49,43,11,0,0,32,0,1,3,13,4,8,0
343,70,30,5,9386,0,32,5,2,3,14,4,7,1
344,35,45,3,0,0,32,0,2,3,13,4,7,1
345,37,12,10,0,0,20,10,5,2,9,4,4,0
346,34,40,13,0,0,32,10,2,3,9,2,8,1
347,45,40,3,0,0,32,1,2,3,11,4,8,1
348,31,40,9,0,0,32,9,2,3,10,4,8,1
349,18,11,2,0,0,32,10,3,5,9,4,7,1
350,48,50,11,7298,0,32,0,2,3,13,4,5,1
351,60,40,11,0,0,32,0,4,2,13,4,8,0
352,22,30,8,0,0,32,9,3,5,10,4,8,0
353,47,40,3,0,0,34,9,2,3,10,4,8,1
354,40,40,11,0,0,6,10,5,4,9,4,8,0
355,36,45,13,0,0,32,9,2,3,10,4,8,1
356,18,36,8,0,0,32,10,1,3,9,4,8,0
357,28,50,0,0,0,32,9,4,2,10,4,8,1
358,68,30,2,0,0,32,7,2,3,4,4,7,1
359,23,40,5,0,0,32,0,4,5,13,2,0,0
360,42,40,9,0,0,32,10,5,5,9,2,8,0
361,61,56,2,0,0,32,7,2,3,4,4,7,1
362,23,40,10,0,0,32,10,3,5,9,4,8,0
363,58,40,8,0,0,8,10,1,3,9,4,8,0
364,46,40,3,0,0,32,9,2,3,10,4,8,1
365,45,40,10,0,0,36,0,4,2,13,3,8,0
366,68,60,5,0,2377,32,8,2,3,16,4,4,1
367,32,40,12,0,0,32,9,5,5,10,4,2,0
368,38,50,2,0,0,32,10,2,3,9,4,7,1
369,36,50,13,0,0,32,10,2,3,9,4,8,1
370,41,48,3,0,0,32,9,2,3,10,4,8,1
371,23,7,5,0,0,32,0,4,5,13,4,4,1
372,31,30,5,0,0,32,0,3,5,13,4,0,0
373,20,40,8,0,0,32,9,0,5,10,4,8,0
374,55,29,6,0,0,32,13,4,5,6,4,8,1
375,58,40,9,0,0,32,7,5,2,4,4,8,0
376,30,40,5,0,0,32,1,2,3,11,4,8,1
377,43,60,5,0,0,32,0,2,3,13,4,5,1
378,41,52,5,0,0,32,0,1,3,13,4,0,0
379,43,45,8,15024,0,32,0,2,3,13,4,8,1
380,49,40,9,0,0,32,0,2,3,13,4,8,1
381,28,50,5,0,0,32,12,4,5,15,2,8,1
382,30,30,10,0,0,32,1,5,2,11,4,8,0
383,51,40,11,0,0,32,8,4,2,16,4,4,0
384,37,27,10,0,0,32,9,5,0,10,2,0,0
385,30,35,6,0,0,32,10,4,4,9,4,8,0
386,17,15,8,0,0,32,11,3,5,8,4,8,0
387,45,40,5,0,0,32,5,4,5,14,4,8,0
388,25,30,3,0,0,6,0,3,5,13,4,8,1
389,52,40,6,0,0,32,7,2,3,4,4,4,1
390,49,40,9,0,0,32,10,4,2,9,4,8,1
391,27,45,8,10520,0,32,0,4,5,13,4,8,1
392,72,3,12,0,0,32,0,2,3,13,4,2,1
393,60,20,5,0,0,38,6,2,3,12,4,4,1
394,68,23,12,0,0,32,10,2,3,9,4,2,1
395,46,40,10,0,0,32,9,2,3,10,4,8,1
396,46,37,10,0,0,32,10,4,5,9,4,8,0
397,23,40,5,0,0,32,0,3,5,13,4,8,0
398,35,40,10,0,0,32,9,0,5,10,2,8,0
399,40,46,0,0,0,32,10,2,3,9,4,8,1
400,32,30,8,0,0,32,10,2,3,9,4,8,1
401,39,40,3,0,0,32,13,2,3,6,4,8,1
402,48,70,8,0,0,32,9,2,3,10,4,7,1
403,55,20,1,0,1977,32,5,2,3,14,4,8,1
404,60,40,14,0,0,32,10,2,3,9,1,4,1
405,33,40,14,0,0,32,10,5,2,9,4,0,1
406,57,40,11,0,0,32,5,2,3,14,4,0,1
407,49,32,6,0,0,32,9,2,3,10,4,8,1
408,20,10,6,0,0,32,9,3,5,10,4,8,0
409,21,15,12,0,0,32,9,3,5,10,4,2,0
410,54,60,11,0,0,32,9,5,2,10,4,8,1
411,33,40,0,0,0,32,13,2,3,6,4,4,1
412,39,40,11,7298,0,32,0,2,3,13,4,5,1
413,19,28,8,0,0,32,9,4,5,10,4,8,0
414,45,55,8,0,0,32,9,4,2,10,4,8,0
415,53,48,11,0,0,32,0,2,3,13,4,6,1
416,69,40,10,0,0,32,10,4,1,9,4,8,0
417,30,50,11,8614,0,32,9,4,2,10,4,8,1
418,42,32,6,0,0,32,9,5,2,10,4,8,0
419,18,30,10,0,0,32,9,3,5,10,4,8,1
420,58,40,13,0,0,32,4,2,3,5,4,0,1
421,24,20,10,0,0,32,9,3,5,10,2,8,0
422,30,35,3,0,0,32,9,4,2,10,4,7,1
423,45,60,8,0,0,32,9,2,3,10,4,7,1
424,45,40,3,0,0,32,10,2,3,9,4,8,1
425,46,48,11,0,0,32,9,2,3,10,4,8,1
426,18,20,8,0,0,32,15,3,5,7,4,8,0
427,30,48,4,0,0,32,9,2,3,10,4,6,1
428,34,45,8,0,0,32,0,4,5,13,4,8,1
429,42,25,10,0,0,32,10,4,2,9,2,4,0
430,40,50,6,0,0,32,10,4,2,9,4,0,0
431,31,38,13,0,0,32,10,2,3,9,4,8,1
432,58,40,10,0,1876,32,6,4,2,12,4,8,1
433,23,35,6,0,0,32,10,5,5,9,4,8,0
434,42,50,13,0,0,32,10,2,3,9,4,8,1
435,34,90,2,4508,0,32,10,2,3,9,4,7,1
436,24,30,6,0,0,32,10,1,3,9,4,8,0
437,47,50,5,0,0,32,5,4,5,14,4,7,0
438,27,50,8,0,0,32,0,2,3,13,4,8,1
439,26,40,10,2354,0,32,10,3,5,9,4,8,0
440,22,40,6,0,2205,32,10,3,5,9,4,8,1
441,35,40,8,0,0,32,0,4,2,13,4,8,0
442,39,40,10,0,0,32,10,5,2,9,2,8,0
443,54,40,11,0,0,32,8,4,5,16,4,4,0
444,29,60,2,0,0,32,10,2,3,9,4,8,1
445,17,7,10,0,0,32,15,3,5,7,4,8,0
446,78,20,0,0,0,37,3,0,1,2,4,8,1
447,51,40,13,0,0,32,7,2,3,4,4,4,1
448,25,24,6,0,0,37,13,4,5,6,4,8,1
449,43,40,11,0,1902,12,0,2,3,13,4,8,1
450,41,48,3,0,0,32,9,2,3,10,4,8,1
451,57,40,6,0,0,32,9,4,4,10,2,0,0
452,43,42,5,0,0,32,0,5,2,13,2,0,0
453,31,40,8,0,0,32,0,3,5,13,4,0,0
454,51,30,6,0,0,32,10,2,3,9,4,5,1
455,26,65,2,0,0,32,9,0,5,10,4,8,0
456,22,40,6,0,0,32,9,3,5,10,2,8,1
457,52,40,10,0,0,32,9,5,2,10,2,6,0
458,45,40,1,0,0,32,0,2,3,13,2,8,1
459,24,40,3,0,0,32,6,3,5,12,4,8,1
460,47,40,11,0,0,32,1,5,4,11,4,7,0
461,59,40,10,7298,0,32,15,2,3,7,4,8,1
462,33,25,6,0,0,32,9,4,5,10,4,8,0
463,38,50,11,0,0,32,5,2,3,14,4,8,1
464,35,40,8,0,0,32,0,3,5,13,2,8,0
465,65,40,10,0,0,32,10,5,5,9,4,8,0
466,57,40,1,0,1887,11,10,2,3,9,2,8,1
467,31,42,3,0,0,38,9,5,5,10,4,8,1
468,72,40,3,2653,0,32,9,2,3,10,4,8,1
469,53,45,6,0,0,32,10,2,3,9,4,0,1
470,40,48,5,0,0,32,0,2,3,13,4,0,1
471,52,40,3,0,0,32,10,2,3,9,4,8,1
472,37,40,3,0,0,32,1,2,3,11,4,8,1
473,18,40,11,0,0,32,10,1,3,9,4,8,0
474,43,40,9,0,0,32,10,2,3,9,2,8,1
475,38,40,10,0,0,32,5,4,5,14,4,8,0
476,23,37,8,0,0,32,10,2,3,9,2,8,1
477,72,16,6,0,0,32,10,5,1,9,4,8,0
478,31,65,6,0,0,32,9,3,5,10,4,4,0
479,27,40,11,0,0,32,10,3,5,9,4,8,1
480,80,60,5,0,1816,32,9,4,5,10,4,8,1
481,17,15,0,0,0,32,15,3,5,7,4,8,1
482,34,40,3,0,0,32,11,2,3,8,4,6,1
483,39,45,10,2174,0,32,9,3,5,10,4,8,0
484,20,16,6,0,0,32,9,3,5,10,4,8,0
485,31,40,1,0,0,32,9,3,2,10,2,8,0
486,27,40,3,0,0,32,10,2,3,9,4,8,1
487,46,38,9,0,0,32,10,4,2,9,4,8,0
488,23,32,10,0,0,32,9,3,5,10,4,8,1
489,24,30,8,0,0,32,10,3,5,9,4,8,0
490,57,40,6,0,0,32,13,5,1,6,4,8,0
491,27,35,5,0,0,32,0,4,5,13,4,0,1
492,28,45,1,0,0,32,0,4,5,13,4,8,1
493,32,40,10,0,0,32,10,3,2,9,4,8,0
