年龄,工作天数,职业类型,投资收入,投资损失,省份,教育,家庭角色,婚姻状况,教育时间,民族,工作情况,性别,Y
49,30,执行主管,14084,0,省份8,高中生,未婚,离婚,9,民族D,非有限责任公司,女,1
26,48,专业技术,0,0,省份8,大学生,离家,未婚,13,民族D,个体,男,0
31,60,农业捕捞,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,非有限责任公司,男,1
52,25,其他职业,0,0,省份8,高一,其他关系,离婚,6,民族D,个体,女,0
38,60,销售,0,0,省份8,高中生,离家,分居,9,民族D,个体,男,0
23,14,管理文书,0,0,省份3,大学未毕业,其他关系,未婚,10,民族B,个体,男,0
59,35,未知,0,0,省份8,高中生,离家,丧偶,9,民族D,未知,女,0
67,25,管理文书,0,0,省份8,大学未毕业,离家,丧偶,10,民族D,个体,女,0
41,40,手工艺维修,0,0,省份8,高中生,离家,离婚,9,民族D,非有限责任公司,男,0
21,20,其他职业,0,0,省份8,高三,孩子,未婚,8,民族A,地方政府,男,0
54,45,手工艺维修,0,0,省份31,高中生,未婚,离婚,9,民族D,个体,男,0
56,10,其他职业,0,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,个体,女,0
22,20,执行主管,0,0,省份8,大学生,其他关系,未婚,13,民族D,个体,女,0
53,5,未知,0,0,省份8,大学未毕业,妻子,已婚平民配偶,10,民族D,未知,女,0
29,50,销售,0,0,省份8,大学未毕业,其他关系,未婚,10,民族D,个体,男,0
66,30,未知,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,未知,男,0
24,65,手工艺维修,0,0,省份11,高一,未婚,未婚,6,民族A,地方政府,男,0
56,40,销售,0,1977,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
36,40,手工艺维修,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,0
61,45,专业技术,0,1902,省份13,职高,丈夫,已婚平民配偶,15,民族D,个体,男,1
49,50,执行主管,99999,0,省份31,研究生,丈夫,已婚平民配偶,14,民族B,个体,男,1
23,35,未知,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,未知,女,0
34,40,技术支持,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
42,60,执行主管,14084,0,省份8,研究生,离家,未婚,14,民族D,省政府,女,1
18,16,管理文书,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,女,0
36,40,机械操作,0,0,省份8,高中生,未婚,离婚,9,民族D,个体,男,0
62,40,机械操作,0,1741,省份8,高中生,未婚,离婚,9,民族D,个体,男,0
32,60,保安,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族A,个体,男,0
24,40,运输,0,0,省份22,高中生,未婚,未婚,9,民族D,个体,男,0
19,20,未知,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,未知,女,0
26,40,其他职业,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0
46,40,专业技术,0,1902,省份8,大学生,妻子,已婚平民配偶,13,民族D,地方政府,女,1
31,41,销售,0,0,省份8,大学生,未婚,丧偶,13,民族D,个体,女,0
46,40,机械操作,0,0,省份3,大学生,未婚,离婚,13,其他,个体,女,0
19,30,销售,0,1719,省份8,高中生,其他关系,未婚,9,民族A,个体,女,0
50,45,其他职业,0,0,省份8,高中生,未婚,分居,9,民族D,个体,女,0
33,99,其他职业,0,0,省份8,准职业学位,未婚,离婚,11,民族D,非有限责任公司,女,0
37,40,农业捕捞,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
37,40,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
31,40,专业技术,7688,0,省份33,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,1
40,40,管理文书,0,0,省份17,高中生,离家,离婚,9,民族D,省政府,女,0
22,40,家政服务,4508,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,个体,女,0
68,60,未知,0,0,省份8,初中一、二年级,丈夫,已婚平民配偶,4,民族D,未知,男,0
42,45,专业技术,8614,0,省份8,大学生,离家,已婚配偶异地,13,民族D,地方政府,女,1
75,30,执行主管,0,0,省份8,高二,丈夫,已婚平民配偶,7,民族D,非有限责任公司,男,0
22,25,运输,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0
39,50,执行主管,7688,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,有限责任公司,男,1
44,50,执行主管,0,1902,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,1
36,38,劳工保洁,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,个体,男,0
41,40,手工艺维修,0,0,省份8,大学未毕业,离家,离婚,10,民族D,非有限责任公司,男,0
42,40,管理文书,0,0,省份8,高中生,离家,分居,9,民族D,个体,男,0
61,50,执行主管,5178,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,地方政府,男,1
41,40,机械操作,0,0,省份35,大学未毕业,孩子,离婚,10,民族D,个体,男,0
46,40,销售,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,1
47,40,管理文书,0,0,省份8,高中生,离家,离婚,9,民族D,地方政府,女,0
23,40,管理文书,0,0,省份8,高中生,离家,离婚,9,民族D,个体,女,0
24,20,专业技术,0,0,省份8,研究生,离家,未婚,14,民族D,中央部委,女,0
35,80,执行主管,0,1740,省份8,大学生,丈夫,已婚平民配偶,13,民族D,地方政府,男,0
35,40,执行主管,0,0,省份8,大学未毕业,离家,离婚,10,民族D,个体,女,0
59,48,未知,0,0,省份8,准职业学位,离家,离婚,11,民族D,未知,男,0
56,40,手工艺维修,0,0,省份8,高中生,未婚,分居,9,民族D,个体,男,0
33,40,执行主管,0,0,省份8,大学生,离家,未婚,13,民族D,个体,男,0
49,60,专业技术,0,1902,省份31,博士,丈夫,已婚平民配偶,16,民族A,中央部委,男,1
65,40,执行主管,0,0,省份8,博士,丈夫,已婚平民配偶,16,民族D,个体,男,1
22,20,执行主管,0,0,省份8,大学未毕业,孩子,未婚,10,民族B,地方政府,男,0
28,50,手工艺维修,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0
35,44,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
63,40,手工艺维修,99999,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
23,25,执行主管,0,0,省份8,大学未毕业,未婚,离婚,10,民族D,个体,女,0
48,40,机械操作,0,0,省份8,高二,丈夫,已婚平民配偶,7,民族A,个体,男,0
23,40,技术支持,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
46,40,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,1
46,40,未知,0,0,省份8,高二,未婚,丧偶,7,民族A,未知,女,0
42,43,销售,0,0,省份8,大学未毕业,未婚,离婚,10,民族D,个体,女,0
31,40,机械操作,0,0,省份8,高中生,离家,未婚,9,民族D,个体,女,0
36,40,其他职业,0,0,省份8,高中生,离家,已婚配偶异地,9,民族A,个体,男,0
58,35,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
24,11,未知,0,0,省份31,大学未毕业,离家,未婚,10,民族D,未知,男,0
33,40,管理文书,0,0,省份8,大学生,离家,未婚,13,民族A,个体,女,0
48,40,专业技术,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
27,50,手工艺维修,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,0
29,36,劳工保洁,0,0,省份8,高中生,离家,未婚,9,民族D,个体,男,0
26,40,管理文书,0,0,省份8,大学专科,妻子,已婚平民配偶,12,民族D,个体,女,0
50,45,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,地方政府,男,1
21,35,其他职业,0,0,省份8,大学未毕业,离家,未婚,10,民族D,个体,女,0
23,25,其他职业,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0
34,40,管理文书,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
45,50,技术支持,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,1
63,35,管理文书,0,0,省份17,大学生,未婚,丧偶,13,民族B,地方政府,女,0
55,40,机械操作,0,0,省份8,高中生,离家,离婚,9,民族D,个体,女,0
44,35,专业技术,0,1887,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,1
38,40,管理文书,0,0,省份8,大学未毕业,未婚,离婚,10,民族D,省政府,女,0
35,55,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
34,10,未知,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族A,未知,男,0
48,16,其他职业,0,0,省份8,高中生,离家,离婚,9,民族D,个体,女,0
48,65,销售,0,0,省份8,大学未毕业,未婚,离婚,10,民族D,非有限责任公司,男,1
77,30,销售,0,1668,省份8,准职业学位,离家,离婚,11,民族D,个体,女,0
45,40,手工艺维修,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,个体,男,0
20,45,运输,0,0,省份8,高中生,其他关系,未婚,9,民族A,个体,男,0
46,15,未知,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,未知,女,0
44,40,管理文书,0,0,省份25,高中生,未婚,离婚,9,民族A,个体,女,0
52,40,机械操作,0,1628,省份8,高三,丈夫,已婚平民配偶,8,民族D,个体,男,0
37,44,销售,0,0,省份8,高中生,离家,未婚,9,民族A,个体,男,0
58,25,未知,0,0,省份8,大学生,离家,离婚,13,民族D,未知,男,0
25,45,手工艺维修,0,0,省份8,大学专科,离家,未婚,12,民族D,个体,男,0
53,20,执行主管,7688,0,省份9,大学生,丈夫,已婚平民配偶,13,民族B,非有限责任公司,男,1
54,40,运输,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
40,60,农业捕捞,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,非有限责任公司,男,0
47,86,农业捕捞,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,非有限责任公司,男,0
47,40,手工艺维修,0,0,省份8,大学未毕业,离家,离婚,10,民族D,地方政府,男,0
35,40,机械操作,0,0,省份8,大学未毕业,其他关系,未婚,10,民族C,个体,男,0
54,1,未知,0,0,省份8,研究生,离家,离婚,14,民族D,未知,男,0
37,40,执行主管,0,0,省份8,大学未毕业,离家,未婚,10,民族D,个体,女,0
21,35,技术支持,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0
28,40,未知,0,0,省份8,高中生,离家,未婚,9,民族A,未知,女,0
39,40,运输,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
19,20,其他职业,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,中央部委,男,0
20,20,销售,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,女,0
29,40,管理文书,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
44,45,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,省政府,男,1
47,48,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
18,40,管理文书,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,女,0
55,50,执行主管,0,0,省份31,职高,丈夫,已婚平民配偶,15,民族D,有限责任公司,男,1
23,40,保安,0,0,省份8,高中生,孩子,未婚,9,民族C,个体,男,0
41,40,机械操作,0,0,省份22,小学5、6年级,离家,离婚,3,民族D,个体,女,0
28,40,其他职业,0,0,省份8,准职业学位,其他关系,未婚,11,民族A,个体,男,0
33,40,机械操作,0,0,省份17,高中生,未婚,未婚,9,民族B,个体,男,0
29,40,手工艺维修,0,0,省份8,初三,丈夫,已婚平民配偶,5,民族D,个体,男,0
50,50,销售,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
24,40,管理文书,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
63,32,保安,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,中央部委,男,0
30,50,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
30,40,管理文书,0,0,省份8,研究生,离家,未婚,14,民族D,个体,女,0
57,16,管理文书,0,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,非有限责任公司,女,0
42,40,专业技术,4650,0,省份8,研究生,离家,离婚,14,民族D,个体,男,0
32,40,劳工保洁,2829,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
26,40,未知,0,0,省份8,大学生,离家,未婚,13,民族D,未知,男,0
36,60,运输,0,0,省份8,高中生,离家,离婚,9,民族D,非有限责任公司,男,0
38,40,运输,4508,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0
41,50,执行主管,0,0,省份33,高中生,丈夫,已婚平民配偶,9,民族D,有限责任公司,男,1
48,65,执行主管,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
26,36,管理文书,0,0,省份8,大学专科,离家,未婚,12,民族D,个体,女,0
42,40,执行主管,0,0,省份8,高一,丈夫,已婚平民配偶,6,民族D,个体,男,0
18,20,其他职业,0,0,省份8,高二,孩子,未婚,7,民族D,个体,男,0
60,40,销售,0,0,省份8,高一,丈夫,已婚平民配偶,6,民族D,个体,男,0
18,25,劳工保洁,0,0,省份8,高中生,未婚,未婚,9,民族D,个体,男,0
39,40,管理文书,0,0,省份8,高中生,未婚,离婚,9,民族D,个体,女,0
36,80,农业捕捞,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,有限责任公司,男,0
30,70,执行主管,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,有限责任公司,男,0
21,15,管理文书,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,中央部委,女,0
44,60,其他职业,0,0,省份8,高二,丈夫,已婚平民配偶,7,民族A,个体,男,0
22,40,管理文书,0,0,省份8,准职业学位,离家,未婚,11,民族D,个体,女,0
42,45,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
54,50,销售,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,非有限责任公司,男,0
54,40,手工艺维修,0,0,省份9,幼儿园,丈夫,已婚平民配偶,1,民族B,个体,男,0
38,40,销售,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
49,38,执行主管,0,0,省份8,高二,离家,离婚,7,民族D,个体,女,0
29,50,专业技术,0,0,省份8,大学生,孩子,未婚,13,民族D,个体,男,0
28,50,执行主管,0,0,省份8,大学生,离家,分居,13,民族D,个体,女,1
31,44,手工艺维修,0,0,省份8,高中生,离家,未婚,9,民族D,有限责任公司,男,0
43,60,管理文书,0,0,省份8,高中生,未婚,未婚,9,民族D,个体,女,0
34,40,技术支持,0,0,省份8,准职业学位,未婚,离婚,11,民族A,个体,女,0
63,40,执行主管,0,0,省份8,高中生,离家,未婚,9,民族D,个体,男,0
35,60,运输,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
24,55,运输,0,0,省份12,高三,孩子,未婚,8,民族D,个体,男,0
32,40,其他职业,0,0,省份8,高中生,孩子,未婚,9,民族A,省政府,男,0
33,40,销售,0,0,省份17,准职业学位,孩子,未婚,11,民族B,个体,男,0
25,40,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
43,30,管理文书,0,0,省份15,小学3年级,未婚,未婚,2,民族D,个体,女,0
90,40,执行主管,0,0,省份8,研究生,孩子,未婚,14,民族D,个体,女,0
24,45,手工艺维修,0,0,省份8,高中生,未婚,未婚,9,民族D,个体,男,0
44,40,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,有限责任公司,男,1
52,40,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,非有限责任公司,男,0
31,40,执行主管,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,有限责任公司,男,1
56,40,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
31,40,销售,0,0,省份8,大学生,离家,未婚,13,民族D,个体,女,0
27,40,劳工保洁,0,0,省份8,大学生,孩子,离婚,13,民族A,个体,男,0
17,14,销售,0,0,省份8,高一,孩子,未婚,6,民族D,个体,女,0
22,45,销售,0,0,省份8,大学生,离家,未婚,13,民族D,个体,女,0
46,40,技术支持,0,0,省份8,高中生,其他关系,未婚,9,民族D,个体,男,0
50,60,执行主管,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,有限责任公司,男,1
20,20,未知,594,0,省份8,大学专科,孩子,未婚,12,民族D,未知,女,0
48,56,机械操作,0,0,省份8,高二,丈夫,已婚平民配偶,7,民族A,个体,男,0
30,40,手工艺维修,5013,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
33,42,执行主管,0,0,省份33,高中生,妻子,已婚平民配偶,9,民族D,个体,女,1
37,50,农业捕捞,2105,0,省份8,大学专科,丈夫,已婚平民配偶,12,民族D,非有限责任公司,男,0
62,40,家政服务,0,0,省份8,大学未毕业,未婚,丧偶,10,民族D,个体,女,0
20,25,未知,0,0,省份8,大学未毕业,其他关系,未婚,10,民族D,未知,女,0
26,40,技术支持,0,0,省份8,准职业学位,孩子,未婚,11,民族D,个体,男,0
41,72,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
17,5,销售,0,0,省份8,高一,孩子,未婚,6,民族D,个体,女,0
45,48,管理文书,0,0,省份8,大学未毕业,离家,离婚,10,民族D,个体,女,0
41,32,其他职业,0,0,省份8,高中生,未婚,离婚,9,民族D,个体,女,0
49,43,管理文书,0,0,省份8,大学未毕业,离家,离婚,10,民族D,个体,女,0
35,40,管理文书,0,0,省份12,准职业学位,妻子,已婚平民配偶,11,民族D,个体,女,0
50,52,保安,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,地方政府,男,1
44,40,管理文书,0,0,省份8,高中生,其他关系,未婚,9,民族D,个体,女,0
67,18,销售,991,0,省份8,高中生,离家,丧偶,9,民族D,个体,女,0
40,40,管理文书,0,0,省份8,大学专科,妻子,已婚平民配偶,12,民族D,非有限责任公司,女,0
55,60,机械操作,10520,0,省份8,初三,离家,离婚,5,民族D,个体,男,1
31,50,专业技术,0,0,省份22,博士,离家,未婚,16,民族D,地方政府,男,1
25,40,管理文书,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,女,0
26,40,专业技术,0,0,省份8,大学生,离家,未婚,13,民族D,个体,女,0
30,45,手工艺维修,0,0,省份8,高中生,离家,未婚,9,民族D,个体,男,0
54,40,专业技术,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
40,32,未知,0,0,省份8,高中生,离家,离婚,9,民族A,未知,女,0
20,40,销售,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0
24,50,机械操作,0,0,省份8,高中生,离家,离婚,9,民族D,非有限责任公司,男,0
61,40,机械操作,0,0,省份35,初中一、二年级,丈夫,已婚平民配偶,4,民族D,个体,男,0
22,40,销售,0,0,省份8,准职业学位,孩子,未婚,11,民族D,个体,女,0
42,50,农业捕捞,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,非有限责任公司,男,0
30,38,手工艺维修,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0
41,60,专业技术,0,0,省份8,职高,丈夫,已婚平民配偶,15,民族D,个体,男,1
36,40,保安,0,0,省份8,大学生,未婚,未婚,13,民族A,中央部委,女,0
19,30,其他职业,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,女,0
39,40,销售,0,0,省份8,高三,离家,离婚,8,民族D,个体,女,0
60,40,未知,0,0,省份8,初中一、二年级,丈夫,已婚平民配偶,4,民族D,未知,男,0
24,40,家政服务,0,0,省份31,大学未毕业,妻子,已婚平民配偶,10,民族D,个体,女,0
22,40,管理文书,0,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,个体,女,0
24,45,执行主管,0,0,省份8,大学未毕业,离家,未婚,10,民族A,非有限责任公司,男,0
19,35,未知,0,0,省份22,初中一、二年级,离家,已婚配偶异地,4,民族D,未知,女,0
26,40,管理文书,0,0,省份8,准职业学位,未婚,未婚,11,民族D,地方政府,男,0
20,40,未知,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,未知,女,0
66,50,销售,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
43,40,农业捕捞,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,地方政府,男,0
48,38,执行主管,7298,0,省份8,高中生,丈夫,已婚平民配偶,9,民族A,地方政府,男,1
32,50,运输,5178,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
30,40,机械操作,0,0,省份8,大学未毕业,离家,未婚,10,民族D,个体,男,0
47,60,销售,99999,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
41,40,其他职业,0,0,省份3,高中生,未婚,未婚,9,民族D,个体,女,0
42,40,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族A,地方政府,男,0
39,50,运输,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
52,65,执行主管,0,0,省份8,大学未毕业,离家,离婚,10,民族D,有限责任公司,男,1
37,70,其他职业,0,0,省份24,大学生,离家,分居,13,民族D,个体,男,0
21,35,手工艺维修,0,0,省份22,高中生,离家,未婚,9,民族D,个体,男,0
48,40,运输,0,0,省份8,高一,丈夫,已婚平民配偶,6,民族D,个体,男,1
20,25,劳工保洁,0,0,省份22,小学5、6年级,离家,未婚,3,民族D,个体,男,0
69,25,专业技术,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,0
35,80,专业技术,0,1977,省份8,职高,丈夫,已婚平民配偶,15,民族D,个体,男,1
22,39,其他职业,0,0,省份11,大学未毕业,其他关系,未婚,10,民族A,中央部委,男,0
31,50,执行主管,0,0,省份8,大学未毕业,离家,离婚,10,民族D,个体,女,0
43,42,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
29,40,管理文书,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0
21,40,未知,0,0,省份8,高中生,未婚,未婚,9,民族D,未知,女,0
43,37,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,中央部委,男,0
28,4,专业技术,0,0,省份8,大学生,离家,未婚,13,民族D,非有限责任公司,女,0
27,40,机械操作,0,0,省份8,高中生,未婚,分居,9,民族D,个体,女,0
33,40,执行主管,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
30,60,专业技术,0,0,省份8,大学生,离家,未婚,13,民族D,个体,男,0
43,45,销售,0,0,省份8,大学生,未婚,离婚,13,民族D,非有限责任公司,男,0
44,40,专业技术,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,1
38,40,手工艺维修,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
48,35,专业技术,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,非有限责任公司,男,1
65,40,未知,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,未知,男,0
61,40,管理文书,0,0,省份8,大学生,离家,离婚,13,民族D,个体,男,1
40,55,技术支持,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,1
33,55,销售,0,1672,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
24,20,专业技术,0,0,省份8,大学生,离家,未婚,13,民族D,中央部委,女,0
23,20,其他职业,0,0,省份8,高三,离家,未婚,8,民族D,中央部委,男,0
56,40,管理文书,0,0,省份33,大学未毕业,离家,未婚,10,民族D,个体,女,0
35,35,农业捕捞,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
44,50,其他职业,0,0,省份17,高中生,妻子,已婚平民配偶,9,民族B,个体,女,0
31,40,管理文书,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
17,15,销售,0,0,省份8,高一,孩子,未婚,6,民族D,个体,男,0
20,28,未知,0,0,省份8,大学未毕业,离家,未婚,10,民族C,未知,女,0
40,45,手工艺维修,0,1887,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
26,42,专业技术,0,0,省份8,大学生,孩子,未婚,13,民族A,地方政府,女,0
17,40,其他职业,0,0,省份8,高二,孩子,未婚,7,民族D,个体,男,0
31,41,管理文书,0,0,省份8,大学专科,未婚,离婚,12,民族D,个体,女,0
44,50,专业技术,0,0,省份8,博士,丈夫,已婚平民配偶,16,民族D,个体,男,0
33,50,手工艺维修,0,0,省份8,大学专科,丈夫,已婚平民配偶,12,民族D,地方政府,男,0
